,Ano de ingresso,Semestre de ingresso no curso,Código,Gênero,Data de nascimento,Forma de ingresso,Tipo de cota,Município SISU,UF SISU,País de nascimento,Mudou de curso - mesmo campus,Mudou de curso - outro campus,Cor ou raça,Ano,Semestre,Coeficiente de rendimento,Disciplinas matriculadas,Disciplinas aprovadas,Disciplinas reprovadas por nota,Disciplinas reprovadas por frequência,Disciplinas consignadas,Situação,Período
7,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,1,0.8524,6,6,0,0,0,Regular,1
1,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,2,0.8397,7,7,0,0,0,Regular,2
2,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,1,0.8407,8,8,0,0,0,Regular,3
3,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,2,0.8522,7,7,0,0,0,Regular,4
4,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,1,0.8523,7,7,0,0,0,Regular,5
5,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,2,0.8396,7,7,0,0,0,Regular,6
6,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,1,0.8448,8,8,0,0,0,Regular,7
0,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,2,0.8465,6,6,0,0,0,Regular,9
8,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,1,0.8488,3,3,0,0,0,Regular,10
9,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,2,0.8433,7,6,1,0,0,Regular,10
10,2007,1,0,Masculino,1989-11-28,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2012,1,0.8428,3,3,0,0,0,Formado,10
17,2007,1,1,Masculino,1989-11-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.7248,6,6,0,0,0,Regular,1
12,2007,1,1,Masculino,1989-11-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.6863,8,7,1,0,0,Regular,2
